comment_id,date,civic_content,department,type,website
UgwtoT3ehD5lS5mF3aJ4AaABAg,2024-06-07T05:02:41Z,Happy with the recent work on road. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/shorts/nUusxC9fj2g
Ugyl0QR6LV4SZrslOYB4AaABAg,2024-02-06T17:18:29Z,Happy with the recent work on street. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/shorts/nUusxC9fj2g
Ugx2tgH-_YMdyVRPYZh4AaABAg,2025-02-23T04:21:46Z,ಕಸ service handled very well. Appreciated.,Sanitation,Feedback,https://www.youtube.com/watch?v=GVh0thaa2BI
UgyELskQkwaeK5kMMXN4AaABAg,2024-11-06T04:16:33Z,ತ್ಯಾಜ್ಯ has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=GVh0thaa2BI
UgxrOYn8_J74WlOKadh4AaABAg,2024-09-13T05:59:20Z,Great response regarding water.,Water Supply,Feedback,https://www.youtube.com/watch?v=GVh0thaa2BI
UgwZjYgo3l0EW1JYtgl4AaABAg,2024-08-20T02:32:00Z,There is an issue with garbage. Please fix it soon.,Sanitation,Complaint,https://www.youtube.com/watch?v=GVh0thaa2BI
Ugxv4gzypeJR7Oe2D2l4AaABAg,2024-06-27T10:03:49Z,Good improvement in bridge. Thank you!,Roads & Infrastructure,Feedback,https://www.youtube.com/shorts/nUusxC9fj2g
Ugx-jTxpyW_zviwMpk54AaABAg,2025-10-30T03:38:44Z,People are facing trouble due to ತ್ಯಾಜ್ಯ. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Sanitation,Complaint,https://www.youtube.com/watch?v=EU0F3lTCBzs
UgxQE3vJv_8mgqQBb2V4AaABAg,2023-11-02T08:57:52Z,ನೀರು problem is causing inconvenience. Request quick action.,Water Supply,Complaint,https://www.youtube.com/watch?v=EU0F3lTCBzs
UgwBvZW62h1xJMkgxN14AaABAg,2024-02-11T20:10:38Z,Positive changes seen in ಸೇತುವೆ. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=mxk6WWJF17w
Ugwvz6ET2cwS-xqmXbJ4AaABAg,2023-04-30T01:50:09Z,Happy with the recent work on pothhole. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=mxk6WWJF17w
Ugx7tHDMV-0vOYrLupt4AaABAg,2023-09-24T13:07:12Z,People are facing trouble due to bridge. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgwJVHcAHaHs4k33Z6d4AaABAg,2025-11-17T07:19:38Z,Great response regarding tax. ಧನ್ಯವಾದಗಳು!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgyOroFsjLoyJ19JBGF4AaABAg,2025-11-05T13:10:36Z,Positive changes seen in bridge. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgwXMW7C7TA-_RTMeoB4AaABAg,2024-11-03T15:27:02Z,The condition of ರಸ್ತೆ needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgwuJYQn_xlxCRMH8cR4AaABAg,2024-10-12T12:56:02Z,There is an issue with ರಸ್ತೆ. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgwrD81xjsjxQ3qq0hh4AaABAg,2024-10-06T16:30:11Z,There is an issue with ಸೇತುವೆ. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgybTP9i2UId72adIJd4AaABAg,2024-10-02T03:09:49Z,road problem is causing inconvenience. Request quick action.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=-ou-WdzVoNg
Ugz6gfVvZqAVEF4wtAR4AaABAg,2024-09-07T05:13:38Z,Happy with the recent work on pothhole. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgwKsusTuQszn_9tdsx4AaABAg,2024-09-07T05:05:16Z,Good improvement in ಸೇತುವೆ. Thank you!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
Ugy6E_da_-q5r6TT3Yp4AaABAg,2024-04-27T02:22:26Z,Great response regarding ಸೇತುವೆ. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgyM7k2JZfzDSuKWHgF4AaABAg,2024-04-13T04:41:10Z,Great response regarding ಸೇತುವೆ. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
UgxZNI0Y9hod-fnueL14AaABAg,2024-04-06T13:01:16Z,Happy with the recent work on bridge. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=-ou-WdzVoNg
Ugy1HWZV9yUgCvtRpzt4AaABAg,2025-09-10T18:57:38Z,There is an issue with road. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=1c64EYY-8pA
